qid	qexplain	qsource	qdifficulty	qexplain	qsource	qmainpoint
11	12.String 和StringBuffer的区别	答：JAVA平台提供了两个类：String和StringBuffer，它们可以储存和操作字符串，即包含多个字符的字符数据。这个String类提供了数值不可改变的字符串。而这个StringBuffer类提供的字符串进行修改。当你知道字符数据要改变的时候你就可以使用StringBuffer。典型地，你可以使用StringBuffers来动态构造字符数据。	2	Java编程语法基础	2012年最新java笔试题	基本数据类型
12	15.JSP中页面转向的两种方式，他们的区别	"答： response.sendRedirect()和<jsp:forward>,前者不转发请求，后者转发请求"	2	JSP基本语法	2012年最新java笔试题	JSP
13	16.对MVC的理解	"答：MVC是一种设计模式，分别是模型（model），视图(view)，控制(controler)的简称。
   在java B/S结构的应用中，我们在数据模型用javaBean表示，用jsp处理用户视图，通过控制不同jsp页面的调用和请求转发
"	2	MVC设计模式的分析	2012年最新java笔试题	MVC
14	17.介绍MVC模式，在什么情况下采取MVC模式？MVC模式的优点是什么？	"答： MVC是一种设计模式，分别是模型（model），视图(view)，控制(controler)的简称。
    在java B/S结构的应用中，我们在数据模型用javaBean表示，用jsp处理用户视图，通过控制不同jsp页面的调用和请求转发。
　　在大中型项目中都可采用MVC。
　　优点：
    将model和view进行了分离，可使网页设计师和程序员能够独立工作。
    组件可以增加程序的重用性，增加网站功能扩充的弹性
"	1	MVC设计模式的分析	2012年最新java笔试题	MVC
15	18.MVC的各个部分都有那些技术来实现?如何实现? 	"答：MVC是Model－View－Controller的简写。""Model"" 代表的是应用的业务逻辑（通过JavaBean，EJB组件实现）， ""View"" 是应用的表示面（由JSP页面产生），""Controller"" 是提供应用的处理过程控制（一般是一个Servlet），通过这种设计模型把应用逻辑，处理过程和显示逻辑分成不同的组件实现。这些组件可以进行交互和重用。"	1	MVC设计模式的分析	2012年最新java笔试题	MVC
16	19.静态方法与静态变量的使用	静态方法可以通过类名直接访问，静态变量在同一类的不同的实例之间共享。	3	面向对象编程基础	2032年最新java笔试题	变量
17	20.Static Nested Class 和 Inner Class的不同。	Static Nested Class是被声明为静态（static）的内部类，它可以不依赖于外部类实例被实例化。而通常的内部类需要在外部类实例化后才能实例化。	1	面向对象编程进阶	2012年最新java笔试题	类
18	21.Collection 和 Collections的区别。	Collection是集合类的上级接口，继承与他的接口主要有Set 和List.。Collections是针对集合类的一个帮助类，他提供一系列静态方法实现对各种集合的搜索、排序、线程安全化等操作。	3	J2SE中常见类等基本知识	2032年最新java笔试题	集合
19	22、JSP中动态INCLUDE与静态INCLUDE的区别？	"动态INCLUDE用jsp:include动作实现 <jsp:include page=""included.jsp"" flush=""true"" />它总是会检查所含文件中的变化，适合用于包含动态页面，并且可以带参数。
静态INCLUDE用include伪码实现,定不会检查所含文件的变化，适用于包含静态页面<%@ include file=""included.htm"" %> 
"	2	jsp代码区、声明区以及注释等	2022年最新java笔试题	JSP
20	23.、静态变量和实例变量的区别？	"static i = 10; //常量
   class A a;  a.i =10;//可变
"	1	面向对象编程基础	2012年最新java笔试题	变量
21	24.finally子句的执行时间	都会执行，除非在前面出现system.exit(0)	1	面向对象编程进阶	2012年最新java笔试题	异常
22	"25.谈谈final, finally, finalize的区别。"	"final 用于声明属性，方法和类，分别表示属性不可变，方法不可覆盖，类不可继承。
finally是异常处理语句结构的一部分，表示总是执行。
finalize是Object类的一个方法，在垃圾收集器执行的时候会调用被回收对象的此方法，可以覆盖此方法提供垃圾收集时的其他资源回收，例如关闭文件等。
"	1	面向对象编程进阶	2012年最新java笔试题	异常
23	26. try {}里有一个return语句，那么紧跟在这个try后的finally {}里的code会不会被执行，什么时候被执行，在return前还是后?	会执行，在return前执行。	1	面向对象编程进阶	2012年最新java笔试题	异常
24	28.对数据库进行操作时突然中断，如何保证数据的完整	用事务保证	1	Oracle数据库?	2012年最新java笔试题	事物处理
25	29.public、protected、private的作用范围	"public    自已　子类　包内　其它
　　protect 　自已  子类　包内
　　缺省　　　自己　　　　包内
　　private   自已
"	1	Java编程语法基础	2012年最新java笔试题	作用域
26	30.说出Servlet的生命周期，并说出Servlet和CGI的区别。	"Servlet被服务器实例化后，容器运行其init方法，请求到达时运行其service方法，service方法自动派遣运行与请求对应的doXXX方法（doGet，doPost）等，当服务器决定将实例销毁的时候调用其destroy方法。
与cgi的区别在于servlet处于服务器进程中，它通过多线程方式运行其service方法，一个实例可以服务于多个请求，并且其实例一般不会销毁，而CGI对每个请求都产生新的进程，服务完成后就销毁，所以效率上低于servlet。
"	1	Servlet编程?	2012年最新java笔试题	Servlet
27	31．如何现实servlet的单线程模式	"%@ page isThreadSafe=""false""%"	3	Servlet编程?	2032年最新java笔试题	Servlet
28	32、servlet的生命周期	web容器加载servlet，生命周期开始。通过调用servlet的init()方法进行servlet的初始化。通过调用service()方法实现，根据请求的不同调用不同的do***()方法。结束服务，web容器调用servlet的destroy()方法。	1	Servlet编程?	2012年最新java笔试题	Servlet
29	cookies和session的区别	 cookies数据写在客户端。session的数据写在服务器上，且在同一客户的不同页面间共享	2	session和Cookie的应用	2022年最新java笔试题	JSP
30	JSP中连接数据库的方法	"1）直接和应用程序一样通过jdbc连接
    2)通过连接池连接
"	1	使用JDBC访问	2012年最新java笔试题	JSP
31	文件流是什么？		2	J2SE中常见类等基本知识	2022年最新java笔试题	IO流
32	多线程的暂停与启动	"线程的暂停的方法已经废弃，但可以用一个boolean值使线程空转，从而达到暂停的目的。
　　如果要从暂停到运行，则改变该boolean值。
"	3	Java多线程?	2032年最新java笔试题	多线程
33	"多线程有几种实现方法,都是什么?同步有几种实现方法,都是什么? "	"多线程有两种实现方法，分别是继承Thread类与实现Runnable接口 
同步的实现方面有两种，分别是synchronized,wait与notify
"	3	Java多线程?	2032年最新java笔试题	多线程
34	线程的基本概念、线程的基本状态以及状态之间的关系	"线程指在程序执行过程中，能够执行程序代码的一个执行单位，每个程序至少都有一个线程，也就是程序本身。
Java中的线程有四种状态分别是：运行、就绪、挂起、结束。
"	3	Java多线程?	2032年最新java笔试题	多线程
35	JavaBean的定义	"javaBean是一种可重复使用、且跨平台的软件组件。分为两种：一种是图形javaBean，另一种是非图形javaBean。
　 通常javaBean是一个public类，且必须有一个无参数的构造函数，具有getXXX和setXXX 方法。
"	1	JavaBean编程?	2012年最新java笔试题	MVC
36	程序流程控制语句	"if ...else
    for
    switch case
    while
    do ...while 
"	1	Java编程语法基础	2012年最新java笔试题	语句控制
37	&和&&的区别。	&是位运算符，表示按位与运算，&&是逻辑运算符，表示逻辑与（and）。&：第一个表达式无论正确错误，第二个都运算，但&&第一个错误，第二个不再运算。	1	Java编程语法基础	2012年最新java笔试题	运算符
38	42.sleep() 和 wait() 有什么区别?	"sleep是线程类（Thread）的方法，导致此线程暂停执行指定时间，给执行机会给其他线程，但是监控状态依然保持，到时后会自动恢复。调用sleep不会释放对象锁。
wait是Object类的方法，对此对象调用wait方法导致本线程放弃对象锁，进入等待此对象的等待锁定池，只有针对此对象发出notify方法（或notifyAll）后本线程才进入对象锁定池准备获得对象锁进入运行状态。
"	1	Java多线程?	2012年最新java笔试题	线程
39	43.Anonymous Inner Class (匿名内部类) 是否可以extends(继承)其它类，是否可以implements(实现)interface(接口)?	可以继承其他类或完成其他接口，在swing编程中常用此方式。	1	面向对象编程进阶	2012年最新java笔试题	类
40	44．内部类可以引用他包含类的成员吗？有没有什么限制？	一个内部类对象可以访问创建它的外部类对象的内容	1	面向对象编程进阶	2012年最新java笔试题	类
41	"一个"".java""源文件中是否可以包括多个类（不是内部类）？有什么限制？"	可以。必须只有一个类名与文件名相同	1	面向对象编程基础	2012年最新java笔试题	类
42	Java有没有goto?	java中的保留字，现在没有在java中使用	1	Java编程语法基础	2012年最新java笔试题	语句控制
43	 error和exception有什么区别?	error 表示恢复不是不可能但很困难的情况下的一种严重问题。比如说内存溢出。不可能指望程序能处理这样的情况。exception 表示一种设计或实现问题。也就是说，它表示如果程序运行正常，从不会发生的情况。	1	面向对象编程进阶	2012年最新java笔试题	异常
44	48、给我一个你最常见到的runtime exception。	"ArithmeticException, ArrayStoreException, BufferOverflowException, BufferUnderflowException, CannotRedoException, CannotUndoException, ClassCastException, CMMException, ConcurrentModificationException, DOMException, EmptyStackException, IllegalArgumentException, IllegalMonitorStateException, IllegalPathStateException, IllegalStateException, ImagingOpException, IndexOutOfBoundsException, MissingResourceException, NegativeArraySizeException, NoSuchElementException, NullPointerException, ProfileDataException, ProviderException, RasterFormatException, SecurityException, SystemException, UndeclaredThrowableException, UnmodifiableSetException, UnsupportedOperationException"	3	面向对象编程进阶	2012年最新java笔试题	异常
45	49．Java中的异常处理机制的简单原理和应用。	"当JAVA程序违反了JAVA的语义规则时，JAVA虚拟机就会将发生的错误表示为一个异常。违反语义规则包括2种情况。一种是JAVA类库内置的语义检查。例如数组下标越界,会引发IndexOutOfBoundsException;访问null的对象时会引发NullPointerException。另一种情况就是JAVA允许程序员扩展这种语义检查，程序员可以创建自己的异常，并自由选择在何时用throw关键字引发异常。所有的异常都是java.lang.Thowable的子类。"	1	面向对象编程进阶	2012年最新java笔试题	异常
46	"50.List, Set, Map是否继承自Collection接口? "	List，Set是；Map不是	1	J2SE中常见类等基本知识	2012年最新java笔试题	集合
47	"51．abstract的method是否可同时是static,是否可同时是 native ，是否可同时是synchronized?"	都不能	1	面向对象编程进阶	2012年最新java笔试题	类的继承
48	52．启动一个线程是用run()还是start()?	启动一个线程是调用start()方法，使线程所代表的虚拟处理机处于可运行状态，这意味着它可以由JVM调度并执行。这并不意味着线程就会立即运行。run()方法可以产生必须退出的标志来停止一个线程。	3	Java多线程?	2012年最新java笔试题	线程
49	53．是否可以继承String类?	String类是final类故不可以继承。	1	面向对象编程基础	2012年最新java笔试题	基本数据类型
50	 	不能，一个对象的一个synchronized方法只能由一个线程访问。	3	Java多线程?	2012年最新java笔试题	线程
51	55．简述synchronized和java.util.concurrent.locks.Lock的异同 ？	"主要相同点：Lock能完成synchronized所实现的所有功能
主要不同点：Lock有比synchronized更精确的线程语义和更好的性能。synchronized会自动释放锁，而Lock一定要求程序员手工释放，并且必须在finally从句中释放。
"	1	Java多线程?	2012年最新java笔试题	同步
52	"56．abstract的method是否可同时是static,是否可同时是native，是否可同时是synchronized?"	都不能	1	面向对象编程进阶	2012年最新java笔试题	类的继承
53	57．两个对象值相同(x.equals(y) == true)，但却可有不同的hash code，这句话对不对?	不对，有相同的hash code。	1	面向对象编程进阶	2012年最新java笔试题	对象
54	58．当一个对象被当作参数传递到一个方法后，此方法可改变这个对象的属性，并可返回变化后的结果，那么这里到底是值传递还是引用传递?	是值传递。Java 编程语言只由值传递参数。当一个对象实例作为一个参数被传递到方法中时，参数的值就是对该对象的引用。对象的内容可以在被调用的方法中改变，但对象的引用是永远不会改变的。	1	面向对象编程进阶	2012年最新java笔试题	对象
55	"59.说出ArrayList,Vector, LinkedList的存储性能和特性"	ArrayList和Vector都是使用数组方式存储数据，此数组元素数大于实际存储的数据以便增加和插入元素，它们都允许直接按序号索引元素，但是插入元素要涉及数组元素移动等内存操作，所以索引数据快而插入数据慢，Vector由于使用了synchronized方法（线程安全），通常性能上较ArrayList差，而LinkedList使用双向链表实现存储，按序号索引数据需要进行前向或后向遍历，但是插入数据时只需要记录本项的前后项即可，所以插入速度较快。	1	J2SE中常见类等基本知识	2012年最新java笔试题	集合
56	60．你所知道的集合类都有哪些？主要方法？	"最常用的集合类是 List 和 Map。 List 的具体实现包括 ArrayList 和 Vector，它们是可变大小的列表，比较适合构建、存储和操作任何类型对象的元素列表。 List 适用于按数值索引访问元素的情形。 
Map 提供了一个更通用的元素存储方法。 Map 集合类用于存储元素对（称作""键""和""值""），其中每个键映射到一个值。
"	1	J2SE中常见类等基本知识	2012年最新java笔试题	集合
57	61．运行时异常与一般异常有何异同？	异常表示程序运行过程中可能出现的非正常状态，运行时异常表示虚拟机的通常操作中可能遇到的异常，是一种常见运行错误。java编译器要求方法必须声明抛出可能发生的非运行时异常，但是并不要求必须声明抛出未被捕获的运行时异常。	1	面向对象编程进阶	2012年最新java笔试题	异常
58	63．EJB与JAVA BEAN的区别？	Java Bean 是可复用的组件，对Java Bean并没有严格的规范，理论上讲，任何一个Java类都可以是一个Bean。但通常情况下，由于Java Bean是被容器所创建（如Tomcat）的，所以Java Bean应具有一个无参的构造器，另外，通常Java Bean还要实现Serializable接口用于实现Bean的持久性。Java Bean实际上相当于微软COM模型中的本地进程内COM组件，它是不能被跨进程访问的。Enterprise Java Bean 相当于DCOM，即分布式组件。它是基于Java的远程方法调用（RMI）技术的，所以EJB可以被远程访问（跨进程、跨计算机）。但EJB必须被布署在诸如Webspere、WebLogic这样的容器中，EJB客户从不直接访问真正的EJB组件，而是通过其容器访问。EJB容器是EJB组件的代理，EJB组件由容器所创建和管理。客户通过容器来访问真正的EJB组件。	3	EJB	2012年最新java笔试题	MVC
59	66．EJB容器提供的服务	主要提供声明周期管理、代码产生、持续性管理、安全、事务管理、锁和并发行管理等服务。	3	EJB	2012年最新java笔试题	MVC
60	67．EJB规范规定EJB中禁止的操作有哪些？	"1.不能操作线程和线程API(线程API指非线程对象的方法如notify,wait等)，2.不能操作awt，3.不能实现服务器功能，4.不能对静态属生存取，5.不能使用IO操作直接存取文件系统，6.不能加载本地库.，7.不能将this作为变量和返回，8.不能循环调用。"	3	EJB	2012年最新java笔试题	MVC
61	68．remote接口和home接口主要作用	"remote接口定义了业务方法，用于EJB客户端调用业务方法。
home接口是EJB工厂用于创建和移除查找EJB实例
"	3	EJB	2012年最新java笔试题	MVC
62	69．bean 实例的生命周期	对于Stateless Session Bean、Entity Bean、Message Driven Bean一般存在缓冲池管理，而对于Entity Bean和Statefull Session Bean存在Cache管理，通常包含创建实例，设置上下文、创建EJB Object（create）、业务方法调用、remove等过程，对于存在缓冲池管理的Bean，在create之后实例并不从内存清除，而是采用缓冲池调度机制不断重用实例，而对于存在Cache管理的Bean则通过激活和去激活机制保持Bean的状态并限制内存中实例数量。	3	EJB	2012年最新java笔试题	MVC
63	70．EJB的激活机制	以Stateful Session Bean 为例：其Cache大小决定了内存中可以同时存在的Bean实例的数量，根据MRU或NRU算法，实例在激活和去激活状态之间迁移，激活机制是当客户端调用某个EJB实例业务方法时，如果对应EJB Object发现自己没有绑定对应的Bean实例则从其去激活Bean存储中（通过序列化机制存储实例）回复（激活）此实例。状态变迁前会调用对应的ejbActive和ejbPassivate方法。	3	EJB	2012年最新java笔试题	MVC
64	71．EJB的几种类型	"会话（Session）Bean ，实体（Entity）Bean 消息驱动的（Message Driven）Bean
会话Bean又可分为有状态（Stateful）和无状态（Stateless）两种
实体Bean可分为Bean管理的持续性（BMP）和容器管理的持续性（CMP）两种
"	3	EJB	2012年最新java笔试题	MVC
65	72．客服端调用EJB对象的几个基本步骤	设置JNDI服务工厂以及JNDI服务地址系统属性，查找Home接口，从Home接口调用Create方法创建Remote接口，通过Remote接口调用其业务方法。	3	EJB	2012年最新java笔试题	MVC
66	73．客服端调用EJB对象的几个基本步骤	设置JNDI服务工厂以及JNDI服务地址系统属性，查找Home接口，从Home接口调用Create方法创建Remote接口，通过Remote接口调用其业务方法。	3	EJB	2012年最新java笔试题	MVC
68	75．EJB需直接实现它的业务接口或Home接口吗，请简述理由。	远程接口和Home接口不需要直接实现，他们的实现代码是由服务器产生的，程序运行中对应实现类会作为对应接口类型的实例被使用。	3	EJB	2012年最新java笔试题	MVC
69	76． Overload和Override的区别。Overloaded的方法是否可以改变返回值的类型?	"方法的重写Overriding和重载Overloading是Java多态性的不同表现。重写Overriding是父类与子类之间多态性的一种表现，重载Overloading是一个类中多态性的一种表现。如果在子类中定义某方法与其父类有相同的名称和参数，我们说该方法被重写 (Overriding)。子类的对象使用这个方法时，将调用子类中的定义，对它而言，父类中的定义如同被""屏蔽""了。如果在一个类中定义了多个同名的方法，它们或有不同的参数个数或有不同的参数类型，则称为方法的重载(Overloading)。Overloaded的方法是可以改变返回值的类型。"	1	面向对象编程进阶	2012年最新java笔试题	类的继承
70	77．构造器Constructor是否可被override?	构造器Constructor不能被继承，因此不能重写Overriding，但可以被重载Overloading。	1	面向对象编程进阶	2012年最新java笔试题	多态
71	78．java中实现多态的机制是什么？	方法的重写Overriding和重载Overloading是Java多态性的不同表现。重写Overriding是父类与子类之间多态性的一种表现，重载Overloading是一个类中多态性的一种表现。	1	面向对象编程进阶	2012年最新java笔试题	多态
72	79.同步和异步有何异同，在什么情况下分别使用他们？举例说明。	"如果数据将在线程间共享。例如正在写的数据以后可能被另一个线程读到，或者正在读的数据可能已经被另一个线程写过了，那么这些数据就是共享数据，必须进行同步存取。
当应用程序在对象上调用了一个需要花费很长时间来执行的方法，并且不希望让程序等待方法的返回时，就应该使用异步编程，在很多情况下采用异步途径往往更有效率。
"	3	Java多线程?	2012年最新java笔试题	线程
73	80．heap和stack有什么区别。	"栈是一种线形集合，其添加和删除元素的操作应在同一段完成。栈按照后进先出的方式进行处理。
堆是栈的一个组成元素
"	3	Java编程语法基础	2012年最新java笔试题	变量
74	81．forward 和redirect的区别	"forward是服务器请求资源，服务器直接访问目标地址的URL，把那个URL的响应内容读取过来，然后把这些内容再发给浏览器，浏览器根本不知道服务器发送的内容是从哪儿来的，所以它的地址栏中还是原来的地址。
    redirect就是服务端根据逻辑,发送一个状态码,告诉浏览器重新去请求那个地址，一般来说浏览器会用刚才请求的所有参数重新请求，所以session,request参数都可以获取。
"	1	代码区、声明区以及注释等	2012年最新java笔试题	JSP
75	82．什么时候用assert。	assertion(断言)在软件开发中是一种常用的调试方式，很多开发语言中都支持这种机制。在实现中，assertion就是在程序中的一条语句，它对一个boolean表达式进行检查，一个正确程序必须保证这个boolean表达式的值为true；如果该值为false，说明程序已经处于不正确的状态下，系统将给出警告或退出。一般来说，assertion用于保证程序最基本、关键的正确性。assertion检查通常在开发和测试时开启。为了提高性能，在软件发布后，assertion检查通常是关闭的。	3	Hibernate	2012年最新java笔试题	Hibernate
76	83．GC是什么? 为什么要有GC? 	"GC是垃圾收集的意思（Gabage Collection）,内存处理是编程人员容易出现问题的地方，忘记或者错误的内存回收会导致程序或系统的不稳定甚至崩溃，Java提供的GC功能可以自动监测对象是否超过作用域从而达到自动回收内存的目的，Java语言没有提供释放已分配内存的显示操作方法。"	3	面向对象编程进阶	2012年最新java笔试题	垃圾回收
77	84.垃圾回收器的基本原理是什么？垃圾回收器可以马上回收内存吗？有什么办法主动通知虚拟机进行垃圾回收？	"对于GC来说，当程序员创建对象时，GC就开始监控这个对象的地址、大小以及使用情况。通常，GC采用有向图的方式记录和管理堆(heap)中的所有对象。通过这种方式确定哪些对象是""可达的""，哪些对象是""不可达的""。当GC确定一些对象为""不可达""时，GC就有责任回收这些内存空间。可以。程序员可以手动执行System.gc()，通知GC运行，但是Java语言规范并不保证GC一定会执行。"	1	面向对象编程进阶	2012年最新java笔试题	垃圾回收
78	85.垃圾回收的优点和原理。并考虑2种回收机制。	"Java语言中一个显著的特点就是引入了垃圾回收机制，使c++程序员最头疼的内存管理的问题迎刃而解，它使得Java程序员在编写程序的时候不再需要考虑内存管理。由于有个垃圾回收机制，Java中的对象不再有""作用域""的概念，只有对象的引用才有""作用域""。垃圾回收可以有效的防止内存泄露，有效的使用可以使用的内存。垃圾回收器通常是作为一个单独的低级别的线程运行，不可预知的情况下对内存堆中已经死亡的或者长时间没有使用的对象进行清楚和回收，程序员不能实时的调用垃圾回收器对某个对象或所有对象进行垃圾回收。回收机制有分代复制垃圾回收和标记垃圾回收，增量垃圾回收。"	1	面向对象编程进阶	2012年最新java笔试题	垃圾回收
79	应用服务器有那些？	BEA WebLogic Server，IBM WebSphere Application Server，Oracle9i Application Server，jBoss，Tomcat	1	web开发基础知识	2012年最新java笔试题	WEB SERVICE
80	应用服务器与WEB SERVER的区别？	"应用服务器：Weblogic、Tomcat、Jboss
WEB SERVER：IIS、 Apache
"	3	web开发基础知识	2012年最新java笔试题	WEB SERVICE
81	88．说出数据连接池的工作机制是什么?	J2EE服务器启动时会建立一定数量的池连接，并一直维持不少于此数目的池连接。客户端程序需要连接时，池驱动程序会返回一个未使用的池连接并将其表记为忙。如果当前没有空闲连接，池驱动程序就新建一定数量的连接，新建连接的数量有配置参数决定。当使用的池连接调用完成后，池驱动程序将此连接表记为空闲，其他调用就可以使用这个连接。	3	JDBC高级应用	2012年最新java笔试题	JDBC
82	89． swtich是否能作用在byte上，是否能作用在long上，是否能作用在String上?	"switch（expr1）中，expr1是一个整数表达式。因此传递给 switch 和 case 语句的参数应该是 int、 short、 char 或者 byte。long,string 都不能作用于swtich。"	1	Java编程语法基础	2012年最新java笔试题	语句控制
83	90．Java的接口和C++的虚类的相同和不同处。	"由于Java不支持多继承，而有可能某个类或对象要使用分别在几个类或对象里面的方法或属性，现有的单继承机制就不能满足要求。与继承相比，接口有更高的灵活性，因为接口中没有任何实现代码。当一个类实现了接口以后，该类要实现接口里面所有的方法和属性，并且接口里面的属性在默认状态下面都是public static,所有方法默认情况下是public.一个类可以实现多个接口。"	3	面向对象编程进阶	2012年最新java笔试题	继承
84	92．描述一下JVM加载class文件的原理机制?	"JVM中类的装载是由ClassLoader和它的子类来实现的,Java ClassLoader 是一个重要的Java运行时系统组件。它负责在运行时查找和装入类文件的类。"	3	Java语言基本知识	2012年最新java笔试题	JAVA虚拟机
85	93．char型变量中能不能存贮一个中文汉字?为什么? 	能够定义成为一个中文的，因为java中以unicode编码，一个char占16个字节，所以放一个中文是没问题的	1	Java编程语法基础	2012年最新java笔试题	基本数据类型
86	95．什么情况下调用doGet()和doPost()？	Jsp页面中的form标签里的method属性为get时调用doGet()，为post时调用doPost()。	1	Servlet编程?	2012年最新java笔试题	Servlet
87	96．页面间对象传递的方法	request，session，application，cookie等	1	JSP基本语法	2012年最新java笔试题	JSP
88	97． JSP和Servlet有哪些相同点和不同点，他们之间的联系是什么？	"JSP是Servlet技术的扩展，本质上是Servlet的简易方式，更强调应用的外表表达。JSP编译后是""类servlet""。Servlet和JSP最主要的不同点在于，Servlet的应用逻辑是在Java文件中，并且完全从表示层中的HTML里分离开来。而JSP的情况是Java和HTML可以组合成一个扩展名为.jsp的文件。JSP侧重于视图，Servlet主要用于控制逻辑。"	1	JSP基本语法	2012年最新java笔试题	JSP
89	100．J2EE是技术还是平台还是框架？	"J2EE本身是一个标准，一个为企业分布式应用的开发提供的标准平台。
    J2EE也是一个框架，包括JDBC、JNDI、RMI、JMS、EJB、JTA等技术。
"	2	J2EE基础知识	2012年最新java笔试题	MVC
90	"101．简述逻辑操作(&,|,^)与条件操作(&&,||)的区别。"	"区别主要答两点：a.条件操作只能操作布尔型的,而逻辑操作不仅可以操作布尔型,而且可以操作数值型    b.逻辑操作不会产生短路"	1	JSP基本语法	2012年最新java笔试题	运算符
91	103．如何给weblogic指定大小的内存? 	在启动Weblogic的脚本中（位于所在Domian对应服务器目录下的startServerName），增加set MEM_ARGS=-Xms32m -Xmx200m，可以调整最小内存为32M，最大200M	3	weblogic	2012年最新java笔试题	MVC
92	104．如何设定的weblogic的热启动模式(开发模式)与产品发布模式?	可以在管理控制台中修改对应服务器的启动模式为开发或产品模式之一。或者修改服务的启动文件或者commenv文件，增加set PRODUCTION_MODE=true。	3	weblogic	2012年最新java笔试题	MVC
93	"105．在weblogic管理制台中对一个应用域(或者说是一个网站,Domain)进行jms及ejb或连接池等相关信息进行配置后,实际保存在什么文件中?"	保存在此Domain的config.xml文件中，它是服务器的核心配置文件。	3	weblogic	2012年最新java笔试题	MVC
94	"106．说说weblogic中一个Domain的缺省目录结构?比如要将一个简单的helloWorld.jsp放入何目录下,然的在浏览器上就可打入http://主机:端口号//helloword.jsp就可以看到运行结果了? 又比如这其中用到了一个自己写的javaBean该如何办?"	Domain目录\服务器目录\applications，将应用目录放在此目录下将可以作为应用访问，如果是Web应用，应用目录需要满足Web应用目录要求，jsp文件可以直接放在应用目录中，Javabean需要放在应用目录的WEB-INF目录的classes目录中，设置服务器的缺省应用将可以实现在浏览器上无需输入应用名。	3	weblogic	2012年最新java笔试题	MVC
