qid	qtitle	qanswer	qdifficulty	qexplain	qsource	qmainpoint
66	在Java程序语言中，它允许在一个class中有几个方法，都有相同的名字，这种用法称为 (_________)  。	方法重载	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
67	(_________) 是一种特殊方法，它的名字必须与它所在的类的名字完全相同，并不返回任何数据类型。	构造方法	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
68	Java中类的方法分为  (_________) 和类方法。	实例方法	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
69	Java中类的方法分为实例方法和 (_________) 。	类方法	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
70	因为类体的内容由成员变量的定义和成员方法的定义两部分组成，对成员变量的操作只能放在 (_________)  中。	成员方法	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
71	java中 (_________) 方法与类名相同，没有返回值，在创建对象实例时由new运算符自动调用。	构造	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
72	在类方法中只能调用类变量和类方法，不能调用 (_________) 方法。	实例	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
73	实例方法既能对类变量操作也能对实例变量操作，而类方法只能对(_________)进行操作。	类变量	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
74	Java中(_________)是创建对象的模板。	类	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
75	当使用一个类创建了一个(_________) 时，我们也说给出了这个类的实例。	对象	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
76	Java中用类创建一个对象包括对象的声明和为对象 (_________) 两个步骤。	分配内存	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
77	对象声明的一般格式为(_________)对象名   。	类名 对象名	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
78	一个类通过使用(_________) 运算符可以创建多个不同对象，这些对象将分配不同得内存空间。	new	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
79	一个类通过使用new运算符和类的 (_________) 为声明的对象分配内存。	构造方法	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
80	"对象创建完后，通过使用运算符“.”,对象可以实现对变量的访问和 (_________) 的调用。"	方法	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
81	Java中不同对象的 (_________) 变量将被分配不同的内存空间。	实例	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
82	Java中如果类中的成员变量有 (_________)变量，那所有的对象的给这样的变量分配给相同的一处内存。	类	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
83	类方法和实例方法的区别在于类方法不但可以由对象调用还可以直接由 (_________) 调用，而实例方法却不可以。	类名	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
84	(_________) 方法不但可以由对象调用还可以直接由类名调用，而实例方法却不可以。	类方法	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
85	类体中的方法分为：(_________) 方法和类方法。	实例	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
86	类体中的方法分为：实例方法和(_________) 方法	类	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
87	(_________)语句作为java源文件的第一条语句指明该源文件定义的类所在的包。	package	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
88	在java程序中，系统会自动引入java.lang这个包，因此不需要再使用  (_________)   语句引入该包。	import	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
89	在java程序中，为了使程序能够使用自定义的包，必须在 (_________)环境变量中指明自定义包的位置。	classpath	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
90	  (_________)包是java语言的核心类库，它包含了运行java程序必不可少的系统类。	java.lang	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
91	为了能使用Java提供的类，我们可以使用语句  (_________)  来引入所需的类。	import	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
92	Java中用  (_________)  修饰的成员变量和方法称为私有变量和私有方法。	private	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
93	Java中不用修饰的成员变量称为  (_________)  变量。	友好	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
94	访问权限是  (_________)  变量，只能在本类中使用，不能在类外使用。	私有	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
95	Java中用 (_________)修饰的成员变量和方法称为共有变量和共有方法。	public	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
96	访问权限是 (_________) 变量，不但在本类中使用，还可以在任何另外一个类中使用。	共有	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
97	访问权限是(_________)变量，只能在本类和与本类同一个包中的其他类使用。	友好	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
98	(_________) 是一种由已有的类创建新类的机制。	继承	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
99	"Java中由继承而得到的类称为  (_________)  ,被继承的类称为父类。"	子类	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
100	Java中不支持(_________) 继承。	多重	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
101	在类的声明中，通过使用关键字  (_________) 来创建一个类的子类。	extends	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
102	子类自然地继承了其父类中不是  (_________)  的成员变量作为自己的成员变量。	private	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
103	当子类中定义的成员变量和父类中的成员变量同名时，子类的成员变量 (_________) 了父类的成员变量。	隐藏	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
104	子类通过成员变量的隐藏和方法的  (_________) 可以把父类的状态和行为改变为自身的状态和行为。	重写	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
105	对于重写或继承的方法，Java运行时系统根据调用方法的 (_________) 的类型来选择调用哪个方法。	实例	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
106	对于子类创建的一个对象，如果子类重写了父类的方法，则运行时系统调用  子类   的方法。	子类	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
107	对于子类创建的一个对象，如果子类继承了父类的方法，未重写，则运行时调用  父类   的方法。	父类	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
108	在Java语言中多态性体现在由方法重载实现的静态多态性和 (_________) 实现的动态多态性。	方法重写	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
109	(_________) 类不能被继承，即不能有子类。	final	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
110	(_________)  类不能创建对象，必须产生其子类，由子类创建对象。	abstract	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
111	如果一个方法被修饰为(_________) 方法，则这个方法不能被重写。	final	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
112	如果一个方法被修饰为final方法，则这个方法不能 (_________)  。	被重写	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
113	如果一个类是一个abstract类的子类，它必须具体实现(_________) 的abstract方法。	父类	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
114	局部变量的名字与成员变量的名字相同，若想在该方法内使用成员变量，必须使用关键字 (_________)  。	this	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
115	在关键字中能代表当前类或对象本身的是 (_________)  。	this	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
116	如果在子类中想使用被子类隐藏的父类的成员变量或方法可以使用关键字 (_________)   。	super	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
117	子类如果想用父类的构造方法，必须在子类的构造方法中使用，并且必须使用关键字 (_________)  来表示。	super	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
118	如果在子类中想使用被子类隐藏了的父类成员变量或方法就可以使用关键字 (_________)   。	super	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
119	Java中为了克服 (_________) 的缺点，使用了接口，一个类可以实现多个接口。	单继承	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
120	(_________) 就是方法定义和常量值的集合。	接口	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
121	使用关键字 (_________) 来定义接口。	interface	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
122	接口定义包括接口的声明和 (_________)  。	接口体	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
123	一个类通过使用关键字(_________) 声明自己实现一个或多个接口。	implements	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
124	如果一个类实现了某个接口，那么这个类必须实现该接口的(_________)  。	所有方法	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
125	接口中的方法被默认的访问权限是(_________)  。	public	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
126	接口的定义包括 (_________) 和接口体。	接口声明	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
127	定义接口时，接口体中只进行方法的声明，不允许提供方法的 (_________) 。	实现	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
128	如果接口中的方法的返回类型不是void的，那么在类中实现该接口的方法时，方法体至少要有一个  (_________)  语句。	return	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
129	(_________)指那些类定义代码被置于其他类定义中的类。	内部类	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
130	创建对象常用的方法就是使用(_________) 运算符和类的构造方法。	new	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
131	把Java应用程序中涉及到的类压缩成一个(_________) 文件。	jar	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
132	 (_________) 是相同类型的数据按顺序组成的一种引用数据类型。	数组	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
133	Java中定义数组后通过  (_________)加数组下标，来使用数组中的数据。	数组名	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
134	Java中声明数组包括数组的名字、数组包含的元素的(_________) 。	数据类型	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
135	(_________) 仅仅是给出了数组名字和元素的数据类型，要想真正的使用数组还必须为它分配内存空间。	声明数组	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
136	一维数组通过下标符访问自己的元素，需要注意的是下标从 (_________) 开始。	0	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
137	声明数组仅仅是给出了数组名字和元素的数据类型，要想真正地使用数组还必须为它 (_________) 。	分配内存空间	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
138	数组声明后，必须使用 (_________) 运算符分配内存空间。	new	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
139	"Java中使用java.lang包中的 (_________) 类来创建一个字符串变量，因此字符串变量是类类型变量,是一个对象。"	String	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
140	创建一个字符串时，使用String类的(_________) 。	构造方法	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
141	(_________)类是不可变类，对象所包含的字符串内容永远不会被改变。	String	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
142	(_________) 类是可变类，对象所包含的字符串内容可以被添加或修改。	String	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
143	使用String类的 (_________)  方法可以获取一个字符串的长度。	length()	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
144	字符串调用  (_________)   方法从当前字符串的头开始检索字符串s，并返回首次出现的位置。	indexOf(String s)	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
145	字符串调用indexOf方法检索字符串s，并返回首次出现s 的位置。如果没有检索到字符串s，该方法返回的值是  (_________)   。	-1	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
146	一个字符串s 通过调用方法  (_________)   得到一个字符串对象，该字符串对象是s 去掉前后空格后的字符串。	trim()	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
147	java.lang 包中的Integer 类调用其类方法：(_________)可以将“数字”格式的字符串，如“12387”，转化为int 型数据	parseInt 	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
148	可以使用java.lang包中的  (_________)   类将形如“12387”的字符串转化为int型数据。	Integer	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
149	可以使用java.lang包中的  (_________)   类将字符串转化为long型数据。	Long	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
150	可以使用String类直接调用  (_________)   方法将数值转化为字符串。	valueOf	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
151	StringBuffer类调用方法，  (_________)   返回缓冲区内的字符串。	toString()	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
152	Object类有一个public方法是 (_________) ，一个对象通过调用该方法可以获得该对象的字符串表示。	toString	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
153	(_________)类是所有Java 类的最终祖先，如果一个类在声明时没有包含extends 关键词，那么这个类直接继承Object类。	Object	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
154	对于一个已经不被任何引用变量引用的对象，当垃圾回收器准备回收该对象所占用的内存时，将自动调用该对象的 (_________)  方法。	finalize()	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
155	每个Java 基本类型在java.lang 包中都有一个相应的 (_________) 类，把基本类型数据转换为对象。	包装	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
156	在Java 集合中不能存放基本类型数据，如果要存放数字，应该使用 (_________)   。	包装类型	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
157	Character 类和Boolean 类直接继承Object 类，除此以外，其他包装类都是 (_________)	java	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
158	包装类都覆盖了Object 类的  toString(_________)   方法，以字符串的形式返回包装对象所表示的基本类型数据。	toString()	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
159	所有的包装类都是final 类型，因此不能创建它们的 (_________)    。	子类	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
160	(_________)  类提供了许多用于数学运算的静态方法。	Math	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
161	Math 类是 (_________)   类型的，因此不能有子类。	final	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
162	(_________)  类提供了一系列用于生成随机数的方法。	Random	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
163	(_________)  类以毫秒数来表示特定的日期。	Date	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
164	java.text.DateFormat 抽象类用于定制日期的格式， 它有一个具体子类为  (_________)	SimpleDateFormat	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
165	(_________)   类能够进行浮点数的精确加法、减法和乘法运算，对于浮点数的除法运算，可以满足用户指定的精度。	BigDecimal	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
166	(_________) 方法是一种非常有用的辅助性程序设计方法。采用这种方法可以使得在程序设计时将程序的正常流程与错误处理分开，有利于代码的编写和维护。	异常处理	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
167	按异常在编译时是否被检测来分，异常可以分为两大类：受检异常与 (_________)    。	非受检异常	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
168	程序可以处理的异常对应的类是 (_________)   及其子类。	Exception	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
169	抛出异常可以利用  (_________)   语句。	throw	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
170	处理异常的方式有两种：  (_________)   方式与转移异常方式。	捕捉异常	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
171	捕捉异常方式是通过  (_________)   结构处理异常。	try-catch-finally	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
172	在try-catch-finally 结构中，  (_________)   语句块一般总是会被执行，不管有没有异常产生。	finally	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
173	异常处理流程中，其中 (_________)    代码块包含了可能发生异常的程序代码。	try	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
174	异常处理流程中，其中  (_________)   代码快紧跟在try 代码块后面，用来捕获并处理异常。	catch	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
175	异常处理流程中，其中(_________) 代码块用于释放被占用的相关资源。	finally	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
176	程序中可能出现的受检查异常，要么用try…catch 语句捕获并处理它，要么用 (_________)  语句抛出它，Java 编译器会对此做检查。	throw	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
177	File 对象调用方法  (_________)    创建一个目录。	mkdir()	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
178	文件输入流（输入流的子类）提供对文件的存取。为了读取文件，使用文件输入流构造方法来(_________) 一个到达该文件的输入流。	打开	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
179	输入流试图要打开的文件可能不存在，就出现I/O 错误，Java 生成一个出错信号，它使用一个   (_________)  对象来表示这个出错信号。	IOException	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
180	(_________)  方法给程序提供一个从输入流中读取数据的基本方法。	read 	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
181	(_________) 方法从输入流中顺序读取源中的单个字节数据，该方法返回字节值（0~255 之间的一个整数），如果到达源的末尾，该方法返回 add(_________)    。	-1	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
182	虽然Java 在程序结束时自动关闭所有打开的流，但是当我们使用完流后，显式地  add(_________)  任何打开的流仍是一个良好的习惯。	关闭	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
183	在操作系统把程序所写到输出流上的那些字节保存到磁盘上之前，内容有时被存放在内存缓冲区中，通过调用 (_________) 方法，可以保证操作系统把流缓冲区的内容写到它的目的地。	close()	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
184	java.lang 包中的System 类有两个重要的类成员：in 和 (_________) ，分别是输入流和输出流类型的对象。	out	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
185	FileInputStream使用(_________)读取文件，不能直接操作Unicode 字符。	字节	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
186	RandomAccessFile 类中用 add(_________)  方法，来定位RandomAccessFile 流的读写位置。	seek	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
187	Java的抽象窗口工具包中包含了许多类来支持 (_________) 设计。	GUI	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
188	JButton类、JLabel类是包javax.swing中的类，并且是javax.swing包中的  (_________)   的子类	JComponent	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
189	196 Java把有JComponent类的子类或间接子类创建的对象称为一个add(_________) 组件   。	swing	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
190	javax.swing包的类  (_________)   是用来建立面板的。	JPanel	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
191	javax.swing包中的  (_________)   类也是JContainer类的子类，该类创建的对象也是一个容器，称为滚动窗口。	JScrollPane	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
192	javax.swingt包中的  (_________)   类或子类所创建的一个对象就是一个窗口。	JFrame	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
193	Java程序中可以向容器添加组件，一个容器可以使用   (_________) 方法将组件添加到该容器中。	add() 	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
194	在组件类的一些常用方法中 (_________) 方法是设置组件的背景颜色。	setBackground	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
