qid	qtitle	qoptA	qoptB	qoptC	qoptD	qanswer	qdifficulty	qexplain	qsource	qmainpoint
55	如下哪个不是 Java 中有效的关键字？(  )     	const	NULL	FALSE	this	A	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
56	下面的代码段中，执行之后i和j的值是什么(  )。 int i = 1;  int j;  j = i++;	"1, 1 "	"1, 2 "	"2, 1 "	"2, 2"	B	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
57	"在Java中，""456""属于（  ）类的对象。"	int 	String	Integer	Numbe	A	4	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
58	关于选择结构下列哪个说法正确(  )。	if语句和 else语句必须成对出现	if语句可以没有else语句对应	switch结构中每个case语句中必须用break语句	switch结构中必须有default语句	B	4	"基本知识,细心你就懂"	百度文库	类与对象
59	java程序设计所规定的三种基本控制结构是(  )。	输入	处理	输出	树形	C	4	"基本知识,细心你就懂"	百度文库	类与对象
60	下列关于循环语句的描述中，错误的是( D )。	任何一种循环体内都可以含一种循环语句 	循环体可以使空语句也可以是空	循环体内可以出现多个break语句	循环语句，循环体至少被执行一次	D	4	"基本知识,细心你就懂"	百度文库	类与对象
61	下列语句中正确的是()。	"If A≠B Then System.out.print(""A不等于B"");"	"If (A≠B) System.out.print(""A不等于B"");"	"If (A!=B) Then System.out.print(""A不等于B"");"	"If A!=B Then System.out.printf(""A不等于B"");"	C	4	"基本知识,细心你就懂"	百度文库	类与对象
62	"下列语句，能完成整型变量a,b值交换是( )。"	int c=a; a=b; b=c;	a=a+b;  b=a-b;  a=a-b;	int c=b; b=a; a=c;	a=b;  b=a;	B	4	"基本知识,细心你就懂"	百度文库	类与对象
63	在switch(expression)语句中，expression的数据类型不能是()。***	double 	char 	byte	short	A	4	"基本知识,细心你就懂"	百度文库	类与对象
64	下列语句中，属于多分支语句的是( )。	if语句	switch语句	do while语句	for语句 	B	4	"基本知识,细心你就懂"	百度文库	类与对象
65	阅读下列代码段int x=3;　while (x<9)　x+=2;x++; while语句成功执行的次数是( )。	1	2	3	4	B	4	"基本知识,细心你就懂"	百度文库	类与对象
66	break语句( )。	只中断最内层的循环	只中断最外层的循环	借助于标号，可以实现任何外层循环中断	只中断某一层的循环	C	4	"基本知识,细心你就懂"	百度文库	类与对象
67	for(;;)是( )。	循环结构	分支结构	顺序结构	选择结构	A	4	"基本知识,细心你就懂"	百度文库	类与对象
68	while循环和 do…while循环的区别是( )。	没有区别，这两个结构任何情况下效果一样	while循环比 do…while循环执行效率高	while循环是先循环后判断，所以循环体至少被执行一次	do…while循环是先循环后判断，所以循环体至少被执行一次	D	4	"基本知识,细心你就懂"	百度文库	类与对象
69	return语句( )。	只能让方法返回数值	方法都必须含有	方法中可以有多句return	不能用来返回对象	C	4	"基本知识,细心你就懂"	百度文库	类与对象
70	不带标号的continue语句( )。	只中断最内层的循环	只中断最外层的循环	只中断所在层循环中的当次循环	只中断某一层的循环	C	4	"基本知识,细心你就懂"	百度文库	类与对象
71	while循环和 do…while循环的区别是( )。	没有区别，这两个结构任何情况下效果一样	while循环比do…while循环执行效率高	do…while循环执行次数可能为0	while循环执行次数可能为0	D	4	"基本知识,细心你就懂"	百度文库	类与对象
72	"下列代码段int i= 1, j= 10 ; do {    if (i++> --j) continue; } while(i<5);执行完毕后，i和j的值分别是()。"	i = 6  j= 5	i = 5  j= 5	i = 6  j= 4	i = 5  j= 6	A	4	"基本知识,细心你就懂"	百度文库	类与对象
73	不能构成循环的语句是()。	for语句	while语句	switch语句	do—while语句	C	4	"基本知识,细心你就懂"	百度文库	类与对象
74	下列语句执行后下列语句执行后下列语句执行后下列语句执行后i的值是的值是的值是的值是（  ）  int i=2;  do{i*=i;} while(i<16);	4	8	16	3	C	4	"基本知识,细心你就懂"	百度文库	类与对象
75	下面哪一个循环会导致死循环？（   ）	for (int k = 0; k < 0; k++) 	for (int k = 10; k > 0; k--) 	for (int k = 0; k < 10; k--)	for (int k = 0; k > 0; k++)	C	4	"基本知识,细心你就懂"	百度文库	类与对象
76	下面哪一个循环会导致死循环？（   ）	for (int k = 0; k < 0; k++) 	for (int k = 10; k > 0; k--) 	for (int k = 0; k < 10; k--)	for (int k = 0; k > 0; k++)	C	4	"基本知识,细心你就懂"	百度文库	类与对象
77	为AB类的一个无形参无返回值的方法method书写方法头，使得使用类名AB作为前缀就可以调用它，该方法头的形式为( )。	static void method()	public void method()	final void method()	abstract void method()	A	4	"基本知识,细心你就懂"	百度文库	类与对象
78	"有以下方法的定义，ReturnType method(byte x,float y){return(short)x/y*2;}请选择该方法的返回类型( )。**"	byte	short	int	float	B	4	"基本知识,细心你就懂"	百度文库	类与对象
79	定义一个表示20个值为null的字符串数组，下面选项正确的是( )。	String[] a	String a[]	char a[20][]	String a[]=new String[20]	D	4	"基本知识,细心你就懂"	百度文库	类与对象
80	关于方法的形参和实参，下列说法正确的是()。	和实参一样，在定义形参时，即被系统分配内存单元，直至程序结束。	实参可以是常量	变量	表达式，但是不能是方法。	C	4	"基本知识,细心你就懂"	百度文库	类与对象
81	在Java语言中，可以用来完成方法调用的方式是( ):	方法作为表达式中的一项出现在表达式中。	方法作为单独的一条语句。	方法作为另一个方法调用的实际参数出现。	以上方法均可以。	D	4	"基本知识,细心你就懂"	百度文库	类与对象
82	关于局部变量的作用域，下列说法不正确的是( ):	主方法中定义的变量只能在主方法中使用，不能在其他方法中使用。	形参变量是属于被调方法的局部变量，而实参变量一般是属于主调方法的局部变量。	不允许在不同的方法中使用相同的变量名。	在复合语句中也可以定义变量，其作用域只在复合语句范围内。	C	4	"基本知识,细心你就懂"	百度文库	类与对象
83	在Java语言中，对于数组的创建和数组占用空间的回收，下列说法中不正确的是( )：	数组可以通过使用new操作符来获取所需要的存储空间。	数组声明的同时，必须使用直接初始化的方式完成创建。	数组使用完成后，所占用的存储空间的释放是由垃圾收集器自动回收的。	利用new操作符方式创建的数组元素会自动被初始化为一个默认值。	B	4	"基本知识,细心你就懂"	百度文库	类与对象
84	以下创建数组的方式错误的是( )：	"short x[]; x={1,2,3,4,5,6};"	short x[]=new short[6]; x[0]=9;x[1]=8;x[2]=7;x[3]=6;x[4]=5;x[5]=4;	short x[]=new short[6]; int len=x.length; for(int i=0;i<len;i++) x[i]=2*i;	"short [][]x={{1,2},{3,4,5},{6,7,8,9}};"	A	4	"基本知识,细心你就懂"	百度文库	类与对象
85	以下叙述中不正确的是( ):	在方法中，通过return语句传回方法值。	在一个方法中，可以执行有多条return语句，并返回多个值。	在Java中，主方法main()后的一对圆括号中也可以带有参数。	在Java中，调用方法可以在System.out.println()语句中完成。	B	4	"基本知识,细心你就懂"	百度文库	类与对象
86	以下正确的描述是( ):	方法的定义不可以嵌套，但方法的调用可以嵌套。	方法的定义可以嵌套，但方法的调用不可以嵌套。	方法的定义和方法的调用均不可以嵌套。	方法的定义和方法的调用均可以嵌套。	A	4	"基本知识,细心你就懂"	百度文库	类与对象
87	按Java语言的规定，以下正确的说法是(   )。	实参不可以是常量，变量或表达式。	形参不可以是常量，变量或表达式。	实参与其对应的形参占用同一个存储单元。	形参是虚拟的，不占用存储单元。	B	4	"基本知识,细心你就懂"	百度文库	类与对象
88	以下正确的说法为(   )。	在不同方法中不可以使用相同名字的变量。	实际参数可以在被调方法中直接使用。	在方法内定义的任何变量只在本方法范围内有效。	在方法内的复合语句中定义的变量只在本方法语句范围内有效。	A	4	"基本知识,细心你就懂"	百度文库	类与对象
89	设有定义语句int a[3]，则下列对此语句的叙述中错误的是( ):	定义了一个名为a的一维数组	a数组有3个元素	a数组元素的下标为1~3	数组a中的每一个元素都是整型	C	4	"基本知识,细心你就懂"	百度文库	类与对象
90	下列关于变量的叙述中哪个是错误的( )   **	实例变量是类的成员变量	实例变量用关键字static声明	在方法中定义的局部变量在该方法被执行时创建	局部变量在使用前必须被初始化	B	4	"基本知识,细心你就懂"	百度文库	类与对象
91	执行完语句int[] x=new int[25];后，下列哪项说法是正确的( )。	x[24]值为0	x[24]值未定义	x[25]值为0	x[0]值为空	A	4	"基本知识,细心你就懂"	百度文库	类与对象
92	"给出下列代码，byte[] array1,array2[];byte[] array3[][];byte [][]array4;则数组初始化中哪项是不正确的(C )?       ****"	array2=array1	array2=array3	array2=array4	array3=array4	C	4	"基本知识,细心你就懂"	百度文库	类与对象
93	下列代码的执行结果是( )。Public class Test{ Public int aMethod(){Static int i=0; i++;System.out.println(i);} Public static void main(String args[]){Test test=new Test(); Test.aMethod();}}	编译错误	0	1	运行成功，但不输出	A	4	"基本知识,细心你就懂"	百度文库	类与对象
94	下列哪个语句是声明了一个含有10个string对象的数组( )。	char str[];	char str[][];	string str[]=new string[10];	string str[10];	C	4	"基本知识,细心你就懂"	百度文库	类与对象
95	下列哪个语句是声明了一个含有10个string对象的数组( )。	char str[];	char str[][];	string str[]=new string[10];	string str[10];	C	4	"基本知识,细心你就懂"	百度文库	类与对象
96	Java 类可以作为（  ）。***	类型定义机制	数据封装机制	类型定义机制和数据封装机制	上述都不对	B	4	"基本知识,细心你就懂"	百度文库	类与对象
97	对象的特征在类中表示为变量，称为类的（  ）。***	对象	属性	方法	数据类	D	4	"基本知识,细心你就懂"	百度文库	类与对象
98	有一段java 应用程序，它的主类名是a1，那么保存它的源文件名可以是（ ）。	a1.java	a1.class	a1	都对	A	4	"基本知识,细心你就懂"	百度文库	类与对象
99	在创建对象时必须（）。	先声明对象，然后才能使用对象	先声明对象，为对象分配内存空间，然后才能使用对象	先声明对象，为对象分配内存空间，对对象初始化，然后才能使用对象	上述说法都对	C	4	"基本知识,细心你就懂"	百度文库	类与对象
100	Java中（ ）。	一个子类可以有多个父类，一个父类也可以有多个子类	一个子类可以有多个父类，但一个父类只可以有一个子类	一个子类可以有一个父类，但一个父类可以有多个子类	上述说法都不对	C	4	"基本知识,细心你就懂"	百度文库	类与对象
101	下列说法正确的是（ ） 。**	不需定义类，就能创建对象 	属性可以是简单变量，也可以是一个对象 	属性必须是简单变量 	对象中必有属性和方法	D	4	"基本知识,细心你就懂"	百度文库	类与对象
102	下面关键字中哪一个是不可用来控制对类成员的访问（  ）。 	public 	private 	protected 	default	A	4	"基本知识,细心你就懂"	百度文库	类与对象
103	构造方法被调用是当（  ）。	类定义时 	使用对象的属性时 	使用对象的方法时 	对象被创建时	C	4	"基本知识,细心你就懂"	百度文库	类与对象
104	下面不是面向对象技术特点的是（  ）。	结构化	封装	继承性 	多态性	A	4	"基本知识,细心你就懂"	百度文库	类与对象
105	Java中，一个类可以有几个父类（ ）。	任意	1	2	4	B	4	"基本知识,细心你就懂"	百度文库	类与对象
106	Java中，使用哪个关键字来定义一个接口（ ）。	implements	class	extends	interface	A	4	"基本知识,细心你就懂"	百度文库	类与对象
107	接口体中不应包含（ ）。	常量定义	常量赋值	方法实现	方法声明	C	4	"基本知识,细心你就懂"	百度文库	类与对象
108	下列不是重载方法的特征的是（  ）。	参数个数不同 	名相同而类型不同	参数类型不同 	名相同且类型相同	B	4	"基本知识,细心你就懂"	百度文库	类与对象
109	在成员变量与局部变量重名时，若想在方法内使用成员变量，要使用关键字（ ）。	super 	import	this	return	C	4	"基本知识,细心你就懂"	百度文库	类与对象
110	当子类的成员变量与父类的成员变量重名时，若想在子类中使用父类中同名的成员变量，要使用关键字（  ）。	super 	import	this	return	A	4	"基本知识,细心你就懂"	百度文库	类与对象
111	若有定义如下 class dog { float x; static int y;…}，则下列说法中正确的是（ ）。 	x称为类变量，y为实例变量	x，y均为类变量	x，y均为实例变量	x为实例变量，y为类变量	B	4	"基本知识,细心你就懂"	百度文库	类与对象
112	下列说法正确的是（ ）。	实例方法能对类变量和实例变量操作	实例方法只能对类变量操作	实例方法只能实例变量操作	类方法能对类变量和实例变量操作	A	4	"基本知识,细心你就懂"	百度文库	类与对象
113	Java程序是由什么组成的（  ）。**	类	对象	函数	包	B	4	"基本知识,细心你就懂"	百度文库	类与对象
114	package awt;的结果是（ ）。	编译结果出错	说明文件的类包含在Java 的awt包中	说明文件的类在自定义的awt包中	导入自定义的awt包中的类	C	4	"基本知识,细心你就懂"	百度文库	类与对象
115	"若有定义 class A{int x,y; static float f(int a){…} float g(int x1,int x2){…}} 及A a1=new A();则下列用法中非法的是（ ）。"	"A.g(3,2)"	A.f(3)	a1.f(4) 	"a1.g(2,5)"	C	4	"基本知识,细心你就懂"	百度文库	类与对象
116	下列不是类的属性修饰符的是（  ）。	public 	abstract	private 	final	D	4	"基本知识,细心你就懂"	百度文库	类与对象
117	类中不加任何访问权限限定的成员属于（  ）。	default 	public 	private	protected	A	4	"基本知识,细心你就懂"	百度文库	类与对象
118	要想使定义该类所在的包之外的类不能访问这个类，使用关键字（  ）。	不用	private	final	protected	A	4	"基本知识,细心你就懂"	百度文库	类与对象
119	定义一个名为key的类，使之不能被继承，应选（）。***	class key{  }	native class key{  }	class key{ final; }	final class key{  }	D	4	"基本知识,细心你就懂"	百度文库	类与对象
120	Java中，如果类C是类B的子类，类B是类A的子类，那么下面描述正确的是（ ）。	C不仅继承了B中的成员，同样也继承了A中的成员	C只继承了B中的成员	C只继承了A中的成员 	C不能继承A或B中的成	A	4	"基本知识,细心你就懂"	百度文库	类与对象
121	一个对象创建包括的操作中，没有下面的（  ）。	释放内存	对象声明	分配内存	调用构造方法	A	4	"基本知识,细心你就懂"	百度文库	类与对象
122	this关键字的含义是表示一个（  ）。	指针	当前对象	一个类	一个方法	D	4	"基本知识,细心你就懂"	百度文库	类与对象
123	"若有定义如下 class A{int x,x1; int f(){int a;…} int g(){int y;…}} ,则不正确的赋值为（ ）。***"	在f()中a=x 	在f()中x=a 	在f()中x=x1 	在g()中y=a	D	4	"基本知识,细心你就懂"	百度文库	类与对象
124	在Java中下列关于继承的论述中，错误的是（  ）。	继承具有传递性	继承关系也称为“即是”（is a）关系 	支持多继承	继承提高了系统的可重用性	C	4	"基本知识,细心你就懂"	百度文库	类与对象
125	在Java中，关于封装性的说法中，错误的是（  ）。****	是一种信息隐蔽技术	使对象之间不可相互作用	是受保护的内部实现 	与类有关，封装的基本单位是对象	A	4	"基本知识,细心你就懂"	百度文库	类与对象
126	一个消息包含的内容，不应有（  ）。 	消息接收者	接受对象应采用的方法	指示接受者做何处理	方法的参数	D	4	"基本知识,细心你就懂"	百度文库	类与对象
127	若声明一个类不能被继承，即不能有子类，用关键字（  ）。	final	finally	abstract	super	A	4	"基本知识,细心你就懂"	百度文库	类与对象
128	下述概念中不属于面向对象方法的是（  ）。	对象	消息	继承	多态 	D	4	"基本知识,细心你就懂"	百度文库	类与对象
129	下列关于构造方法的叙述中，错误的是（  ）。	Java语言规定构造方法名与类名必须相同 	Java语言规定构造方法没有返回值，但不用void声明	Java语言规定构造方法不可以重载 	Java语言规定构造方法只能通过new自动调用	C	4	"基本知识,细心你就懂"	百度文库	类与对象
130	关于被私有访问控制符private修饰的成员变量，以下说法正确的是（   ）。	可以被三种类所引用：该类自身	与它在同一个包中的其他类	在其他包中的该类的子类 	可以被两种类访问和引用：该类本身	C	4	"基本知识,细心你就懂"	百度文库	类与对象
131	下面的选项中，哪一项不属于“汽车类”的行为（   ）。	启动	刹车	减速	速度	D	4	"基本知识,细心你就懂"	百度文库	类与对象
132	在Java中用什么关键字修饰的方法可以直接通过类名来调用？（  ）***	static	final	private	void	D	4	"基本知识,细心你就懂"	百度文库	类与对象
133	若在某一个类定义中定义有如下的方法：abstract void performDial( );该方法属于（   ）。 	接口方法	最终方法	抽象方法	空方法	C	4	"基本知识,细心你就懂"	百度文库	类与对象
134	如果希望某个变量只可以被类本身访问和调用，则应该使用下列哪一种访问控制修饰（   ）。  	private	protected	private  protected	public	A	4	"基本知识,细心你就懂"	百度文库	类与对象
135	"声明成员变量时,如果不使用任何访问控制符(public, protected, private)，则以下哪种类型的类不能对该成员进行直接访问 （   ）。"	同一类	同一包中的子类 	同一包中的非子类	不同包中的子类	D	4	"基本知识,细心你就懂"	百度文库	类与对象
136	"声明成员变量时,如果不使用任何访问控制符(public, protected, private)，则以下哪种类型的类不能对该成员进行直接访问 （  ）。"	同一类	同一包中的子类 	同一包中的非子类	不同包中的子类	D	4	"基本知识,细心你就懂"	百度文库	类与对象
137	"定义一个类,必须使用的关键字是（  ）。"	public	class	interface	static	B	4	"基本知识,细心你就懂"	百度文库	类与对象
138	定义一个接口必须使用的关键字是（ ）。	public	class	interface	static	C	4	"基本知识,细心你就懂"	百度文库	类与对象
139	下列修饰符中与访问控制无关的是（  ）。	private	public	protected	final	D	4	"基本知识,细心你就懂"	百度文库	类与对象
140	关于对象成员占用内存的说法哪个正确（ ）。****	同一个类的对象共用同一段内存	"同一个类的对象使用不同的内存段,但静态成员共享相同的内存空间"	对象的方法不占用内存	以上都不对	D	4	"基本知识,细心你就懂"	百度文库	类与对象
141	以下关于继承的叙述正确的是（  ）。 	在Java中类只允许单一继承	在Java中一个类只能实现一个接口	在Java中一个类不能同时继承一个类和实现一个接口	在Java中接口只允许单一继承	A	4	"基本知识,细心你就懂"	百度文库	类与对象
142	下列方法头中哪一个不与其它方法形成重载(overload)关系?（   ）	void mmm( )	void mmm(int i)	void mmm(String s) 	int mm( )	D	4	"基本知识,细心你就懂"	百度文库	类与对象
143	下面哪一行代码正确的声明了一个类方法(静态方法)？（   ） 	public int method(int i)	protected method(int i) 	public static method(String s)	protected static void method(Integer i)	D	4	"基本知识,细心你就懂"	百度文库	类与对象
144	定义一个类名为“MyClass.java”的类，并且该类可被一个工程中的所有类访问，那么该类的正确声明应为( )   	private class MyClass extends Object	class MyClass extends Object	public class MyClass	private class MyClass extends Obj	C	4	"基本知识,细心你就懂"	百度文库	类与对象
145	以下哪些修饰符可以使变量对于任何其他类都是不可视的，包括子类？（  ）	private 	public	final	abstact	C	4	"基本知识,细心你就懂"	百度文库	类与对象
146	请问以下哪个类不能被子类继承？（）	class A{  }	abstract final class A{  }	native class A{  }	final class A{  }	D	4	"基本知识,细心你就懂"	百度文库	类与对象
147	下列关于继承的哪项叙述是正确的？(  )	在java中允许多重继承	在java中一个类只能实现一个接口	在java中一个类不能同时继承一个类和实现一个接口	java的单一继承使代码更可靠	D	4	"基本知识,细心你就懂"	百度文库	类与对象
148	对象的行为在类中表示为方法，称为类的（  ）。	动作	属性	方法	数据类	C	4	"基本知识,细心你就懂"	百度文库	类与对象
149	Java语言是(  )	面向问题的解释型高级编程语言	面向机器的低级编程语言	面向过程的编译型高级编程语言	面向对象的解释型高级编程语言	D	4	"基本知识,细心你就懂"	百度文库	类与对象
150	下列为合法类名的是:（  ）	class	123Student	WatchTV	"""类名"""	C	4	"基本知识,细心你就懂"	百度文库	类与对象
151	下列关于JAVA语言特性的描述中，错误的是（  ）。	支持多线程操作	JAVA程序与平台无关	JAVA程序可以直接访问Internet上的对象	支持单继承和多继承	D	4	"基本知识,细心你就懂"	百度文库	类与对象
